Word,Old Testament,New Testament,Apocrypha,Total
amram's,1,0,0,1
amramites,2,0,0,2
amraphel,2,0,0,2
amzi,2,0,0,2
an,1242,305,334,1881
anab,2,0,0,2
anael's,0,0,1,1
anah,10,0,0,10
anaharath,1,0,0,1
anaiah,2,0,0,2
anak,8,0,0,8
anakims,9,0,0,9
anamim,2,0,0,2
anammelech,1,0,0,1
anan,1,0,1,2
anani,1,0,0,1
ananiah,2,0,0,2
ananias,0,10,10,20
ananiel,0,0,1,1
anath,2,0,0,2
anathema,0,1,0,1
anathoth,16,0,1,17
ancestors,1,0,3,4
ancestors',0,0,1,1
anchor,0,1,0,1
anchors,0,3,0,3
ancient,26,0,10,36
ancients,9,0,9,18
and,18287,5580,4497,28364
andrew,0,12,0,12
andronicus,0,1,5,6
anem,1,0,0,1
aner,3,0,0,3
anethothite,1,0,0,1
anetothite,1,0,0,1
anew,0,0,2,2
angel,95,97,38,230
angel's,0,2,0,2
angels,12,79,7,98
angels',1,0,2,3
anger,223,5,16,244
angered,1,0,0,1
angereth,0,0,2,2
angle,2,0,0,2
angry,36,7,16,59
anguish,14,3,7,24
aniam,1,0,0,1
anim,1,0,0,1
anise,0,1,0,1
ankle,0,1,0,1
ankles,1,0,0,1
anna,0,1,8,9
annas,0,4,2,6
annointedst,0,0,1,1
annoyance,0,0,1,1
annoyed,0,0,1,1
annus,0,0,1,1
anoint,28,5,2,35
anointed,84,12,7,103
anointedst,1,0,0,1
anointest,1,0,0,1
anointing,24,2,0,26
anon,0,2,1,3
anos,0,0,1,1
another,219,189,88,496
another's,2,3,1,6
answer,102,28,17,147
answerable,1,0,0,1
answered,287,203,60,550
answeredst,2,0,0,2
answerest,2,4,0,6
answereth,8,5,0,13
answering,0,31,1,32
answers,2,1,0,3
ant,1,0,0,1
antichrist,0,4,0,4
antichrists,0,1,0,1
antilibanus,0,0,1,1
antioch,0,18,10,28
antiochia,0,0,4,4
antiochians,0,0,2,2
antiochus,0,0,53,53
antiochus',0,0,1,1
antipas,0,1,0,1
antipater,0,0,2,2
antipatris,0,1,0,1
antiquity,1,0,0,1
antothijah,1,0,0,1
antothite,2,0,0,2
ants,1,0,0,1
anub,1,0,0,1
anus,0,0,1,1
anvil,1,0,1,2
any,571,261,145,977
anything,5,0,1,6
apace,3,0,0,3
apame,0,0,1,1
apart,8,8,5,21
apelles,0,1,0,1
apes,2,0,0,2
apharsachites,2,0,0,2
apharsathchites,1,0,0,1
apharsites,1,0,0,1
aphek,8,0,0,8
aphekah,1,0,0,1
apherema,0,0,1,1
apherra,0,0,1,1
aphiah,1,0,0,1
aphik,1,0,0,1
aphrah,1,0,0,1
aphses,1,0,0,1
apiece,6,2,0,8
aplace,0,0,1,1
apollonia,0,1,0,1
apollonius,0,0,12,12
apollonius',0,0,1,1
apollophanes,0,0,1,1
apollos,0,10,0,10
apollyon,0,1,0,1
apostle,0,19,0,19
apostles,0,54,0,54
apostles',0,5,0,5
apostleship,0,4,0,4
apothecaries,1,0,0,1
apothecaries',1,0,0,1
apothecary,4,0,2,6
appaim,2,0,0,2
apparel,21,6,8,35
apparelled,1,1,0,2
apparently,1,0,0,1
apparition,0,0,2,2
apparitions,0,0,2,2
appeal,0,2,0,2
appealed,0,4,0,4
appear,28,23,15,66
appearance,21,4,4,29
appearances,2,0,0,2
appeared,40,27,28,95
appeareth,7,3,4,14
appearing,0,6,1,7
appease,1,0,2,3
appeased,1,1,2,4
appeaseth,1,0,1,2
appertain,2,0,4,6
appertained,3,0,1,4
appertaineth,2,0,4,6
appertaining,0,0,3,3
appetite,4,0,3,7
appetites,0,0,1,1
apphia,0,1,0,1
apphus,0,0,1,1
appii,0,1,0,1
apple,8,0,1,9
apples,3,0,0,3
applied,3,0,1,4
applieth,0,0,1,1
apply,4,0,1,5
appoint,34,4,1,39
appointed,103,23,35,161
appointedst,0,0,1,1
appointeth,1,0,0,1
appointment,4,0,2,6
apprehend,0,2,0,2
apprehended,0,3,1,4
approach,17,1,1,19
approached,2,0,1,3
approacheth,0,1,0,1
approaching,1,1,2,4
approve,1,2,0,3
approved,0,8,6,14
approvest,0,1,0,1
approveth,1,0,0,1
approving,0,1,0,1
aprons,1,1,0,2
apt,2,2,1,5
aquila,0,6,0,6
ar,6,0,1,7
ara,1,0,0,1
arab,1,0,0,1
arabah,1,0,0,1
arabattine,0,0,1,1
arabia,5,2,4,11
arabian,4,0,2,6
arabians,5,1,4,10
arad,5,0,0,5
aradus,0,0,1,1
arah,4,0,0,4
aram,7,3,0,10
aramitess,1,0,0,1
aran,2,0,0,2
ararat,2,0,0,2
ararath,0,0,1,1
araunah,7,0,0,7
arba,3,0,0,3
arbah,1,0,0,1
arbathite,2,0,0,2
arbattis,0,0,1,1
arbela,0,0,1,1
arbite,1,0,0,1
arbonai,0,0,1,1
archangel,0,2,1,3
archelaus,0,1,0,1
archer,2,0,2,4
archers,10,0,2,12
arches,12,0,0,12
archevites,1,0,0,1
archi,1,0,0,1
archippus,0,2,0,2
archite,5,0,0,5
arcturus,2,0,0,2
ard,2,0,0,2
ardath,0,0,1,1
ardites,1,0,0,1
ardon,1,0,0,1
are,1711,781,460,2952
areli,2,0,0,2
arelites,1,0,0,1
areopagite,0,1,0,1
areopagus,0,1,0,1
ares,0,0,1,1
aretas,0,1,1,2
areus,0,0,1,1
argob,5,0,0,5
arguing,1,0,0,1
arguments,1,0,0,1
ariarathes,0,0,1,1
aridai,1,0,0,1
aridatha,1,0,0,1
